,score
0,42496
1,26921
2,25653
3,23270
4,20657
5,19953
6,19388
7,19063
8,18418
9,18137
10,17363
11,17160
12,17103
13,17079
14,16931
15,16583
16,16525
17,16497
18,16222
19,16158
20,16015
21,15813
22,15735
23,15620
24,15088
25,15012
26,14701
27,14498
28,14482
29,14450
30,14440
31,14402
32,14346
33,14302
34,14187
35,14031
36,13977
37,13848
38,13685
39,13411
40,13324
41,13306
42,13104
43,13095
44,12883
45,12803
46,12690
47,12589
48,12382
49,12376
50,12314
51,12265
52,12229
53,12199
54,12126
55,12118
56,12089
57,12027
58,11945
59,11881
60,11869
61,11854
62,11848
63,11705
64,11696
65,11666
66,11604
67,11565
68,11459
69,11369
70,11343
71,11303
72,11228
73,11168
74,11149
75,11126
76,11025
77,10999
78,10992
79,10925
80,10837
81,10765
82,10754
83,10725
84,10719
85,10700
86,10631
87,10618
88,10607
89,10595
90,10582
91,10555
92,10494
93,10430
94,10308
95,10226
96,10187
97,10117
98,10083
99,10068
100,9993
101,9969
102,9961
103,9944
104,9910
105,9847
106,9845
107,9818
108,9818
109,9751
110,9742
111,9720
112,9718
113,9650
114,9635
115,9626
116,9590
117,9584
118,9548
119,9528
120,9523
121,9517
122,9516
123,9509
124,9489
125,9471
126,9459
127,9454
128,9370
129,9366
130,9354
131,9318
132,9316
133,9298
134,9283
135,9274
136,9231
137,9222
138,9202
139,9191
140,9197
141,9156
142,9130
143,9122
144,9079
145,9067
146,9063
147,9040
148,9035
149,9006
150,8985
151,8985
152,8971
153,8919
154,8913
155,8870
156,8873
157,8864
158,8853
159,8803
160,8755
161,8730
162,8724
163,8714
164,8715
165,8693
166,8674
167,8663
168,8652
169,8641
170,8613
171,8601
172,8597
173,8593
174,8591
175,8585
176,8582
177,8568
178,8551
179,8549
180,8539
181,8534
182,8534
183,8507
184,8463
185,8449
186,8430
187,8422
188,8392
189,8378
190,8303
191,8286
192,8280
193,8262
194,8246
195,8231
196,8220
197,8202
198,8190
199,8150
200,8147
201,8131
202,8131
203,8129
204,8064
205,8016
206,8010
207,8001
208,7955
209,7958
210,7944
211,7938
212,7935
213,7932
214,7913
215,7908
216,7888
217,7877
218,7877
219,7866
220,7858
221,7857
222,7843
223,7834
224,7812
225,7807
226,7812
227,7797
228,7785
229,7774
230,7747
231,7739
232,7715
233,7700
234,7701
235,7688
236,7678
237,7630
238,7565
239,7558
240,7523
241,7525
242,7509
243,7509
244,7514
245,7497
246,7484
247,7481
248,7477
249,7471
250,7460
251,7448
252,7425
253,7425
254,7396
255,7398
256,7358
257,7357
258,7344
259,7343
260,7344
261,7341
262,7337
263,7308
264,7306
265,7296
266,7291
267,7290
268,7286
269,7287
270,7282
271,7282
272,7278
273,7262
274,7257
275,7246
276,7251
277,7242
278,7217
279,7207
280,7211
281,7205
282,7199
283,7183
284,7154
285,7162
286,7155
287,7121
288,7126
289,7123
290,7125
291,7112
292,7093
293,7059
294,7048
295,7039
296,7036
297,7042
298,7031
299,7030
300,6998
301,6981
302,6970
303,6972
304,6970
305,6970
306,6960
307,6965
308,6958
309,6944
310,6931
311,6930
312,6927
313,6926
314,6930
315,6913
316,6890
317,6852
318,6849
319,6833
320,6839
321,6823
322,6818
323,6819
324,6822
325,6818
326,6813
327,6788
328,6769
329,6763
330,6774
331,6765
332,6760
333,6732
334,6716
335,6710
336,6705
337,6707
338,6705
339,6706
340,6700
341,6695
342,6700
343,6697
344,6676
345,6645
346,6631
347,6619
348,6607
349,6597
350,6601
351,6586
352,6581
353,6574
354,6572
355,6557
356,6540
357,6529
358,6527
359,6524
360,6523
361,6512
362,6514
363,6516
364,6505
365,6507
366,6492
367,6491
368,6485
369,6475
370,6482
371,6464
372,6466
373,6455
374,6438
375,6423
376,6430
377,6418
378,6414
379,6414
380,6419
381,6413
382,6396
383,6401
384,6404
385,6397
386,6389
387,6389
388,6382
389,6384
390,6376
391,6369
392,6357
393,6356
394,6347
395,6351
396,6347
397,6344
398,6337
399,6332
400,6319
401,6327
402,6324
403,6327
404,6323
405,6319
406,6317
407,6310
408,6294
409,6302
410,6304
411,6283
412,6282
413,6274
414,6272
415,6267
416,6257
417,6262
418,6256
419,6245
420,6246
421,6239
422,6238
423,6244
424,6235
425,6224
426,6218
427,6220
428,6212
429,6194
430,6184
431,6185
432,6171
433,6156
434,6162
435,6157
436,6141
437,6139
438,6127
439,6123
440,6110
441,6114
442,6104
443,6101
444,6096
445,6093
446,6084
447,6091
448,6084
449,6082
450,6075
451,6061
452,6043
453,6047
454,6044
455,6033
456,6009
457,6006
458,6007
459,6001
460,6000
461,5991
462,5991
463,5967
464,5965
465,5962
466,5963
467,5942
468,5945
469,5942
470,5935
471,5933
472,5927
473,5922
474,5924
475,5908
476,5902
477,5884
478,5876
479,5868
480,5871
481,5854
482,5847
483,5850
484,5849
485,5838
486,5835
487,5830
488,5816
489,5810
490,5809
491,5800
492,5802
493,5795
494,5785
495,5761
496,5768
497,5763
498,5758
499,5755
500,5759
501,5744
502,5748
503,5747
504,5732
505,5734
506,5731
507,5724
508,5720
509,5720
510,5709
511,5710
512,5684
513,5670
514,5672
515,5674
516,5667
517,5662
518,5669
519,5655
520,5651
521,5647
522,5646
523,5647
524,5640
525,5629
526,5625
527,5626
528,5625
529,5623
530,5619
531,5614
532,5608
533,5608
534,5605
535,5604
536,5593
537,5591
538,5580
539,5574
540,5568
541,5576
542,5563
543,5561
544,5564
545,5552
546,5545
547,5537
548,5532
549,5527
550,5519
551,5523
552,5513
553,5514
554,5510
555,5512
556,5508
557,5506
558,5505
559,5492
560,5486
561,5482
562,5467
563,5467
564,5463
565,5471
566,5464
567,5460
568,5451
569,5453
570,5444
571,5438
572,5445
573,5436
574,5436
575,5429
576,5433
577,5392
578,5393
579,5387
580,5389
581,5381
582,5379
583,5374
584,5367
585,5360
586,5357
587,5350
588,5345
589,5334
590,5332
591,5329
592,5330
593,5327
594,5321
595,5324
596,5316
597,5321
598,5313
599,5316
600,5310
601,5313
602,5309
603,5307
604,5300
605,5298
606,5300
607,5291
608,5289
609,5286
610,5283
611,5275
612,5270
613,5271
614,5269
615,5265
616,5273
617,5266
618,5269
619,5260
620,5255
621,5255
622,5252
623,5252
624,5253
625,5249
626,5251
627,5243
628,5243
629,5245
630,5236
631,5222
632,5220
633,5207
634,5206
635,5199
636,5195
637,5199
638,5189
639,5196
640,5187
641,5185
642,5179
643,5182
644,5170
645,5178
646,5169
647,5161
648,5159
649,5152
650,5152
651,5148
652,5140
653,5144
654,5133
655,5122
656,5113
657,5118
658,5104
659,5099
660,5098
661,5097
662,5086
663,5089
664,5083
665,5075
666,5068
667,5063
668,5068
669,5064
670,5051
671,5035
672,5034
673,5030
674,5028
675,5029
676,5015
677,5022
678,5028
679,5010
680,5008
681,5005
682,5005
683,5002
684,4978
685,4968
686,4960
687,4964
688,4951
689,4949
690,4931
691,4920
692,4915
693,4920
694,4918
695,4914
696,4911
697,4909
698,4915
699,4912
700,4904
701,4896
702,4896
703,4895
704,4892
705,4886
706,4899
707,4888
708,4890
709,4889
710,4884
711,4874
712,4878
713,4876
714,4875
715,4869
716,4868
717,4873
718,4878
719,4872
720,4867
721,4866
722,4860
723,4860
724,4857
725,4850
