,score
0,370
1,326
2,305
3,292
4,283
5,249
6,246
7,234
8,232
9,226
10,217
11,207
12,159
13,157
14,153
15,156
16,153
17,142
18,141
19,132
20,136
21,128
22,127
23,117
24,121
25,118
26,111
27,105
28,104
29,104
30,102
31,95
32,89
33,91
34,88
35,85
36,84
37,82
38,85
39,86
40,85
41,82
42,78
43,79
44,71
45,72
46,70
47,71
48,68
49,70
50,66
51,68
52,65
53,66
54,64
55,60
56,64
57,62
58,61
59,60
60,62
61,62
62,58
63,62
64,59
65,59
66,56
67,59
68,53
69,57
70,53
71,57
72,53
73,56
74,54
75,53
76,49
77,55
78,53
79,54
80,49
81,49
82,50
83,48
84,49
85,54
86,49
87,48
88,50
89,50
90,52
91,50
92,49
93,47
94,48
95,48
96,47
97,45
98,45
99,45
100,48
101,45
102,45
103,46
104,46
105,47
106,45
107,45
108,45
109,45
110,43
111,46
112,44
113,45
114,44
115,44
116,43
117,41
118,44
119,41
120,44
121,43
122,43
123,40
124,42
125,43
126,40
127,44
128,39
129,39
130,40
131,39
132,40
133,39
134,39
135,38
136,40
137,38
138,38
139,39
140,38
141,37
142,38
143,36
144,38
145,37
146,36
147,38
148,38
149,35
150,36
151,41
152,37
153,37
154,34
155,37
156,36
157,36
158,35
159,37
160,34
161,38
162,34
163,35
164,34
165,35
166,37
167,36
168,36
169,33
170,36
171,32
172,36
173,34
174,31
175,39
176,35
177,37
178,36
179,35
180,34
181,36
182,34
183,31
184,32
185,34
186,31
187,31
188,31
189,32
190,33
191,34
192,35
193,36
194,34
195,33
196,34
197,30
198,29
199,33
200,29
201,35
202,35
203,31
204,32
205,29
206,32
207,35
208,33
209,32
210,30
211,30
212,32
213,31
214,33
215,34
216,33
217,32
218,30
219,33
220,29
221,29
222,30
223,27
224,29
225,31
226,30
227,33
228,30
229,29
230,33
231,29
232,30
233,29
234,32
235,30
236,31
237,29
238,30
239,31
240,30
241,30
242,29
243,30
244,30
245,30
246,29
247,30
248,28
249,28
250,28
251,29
252,27
253,31
254,30
255,28
256,30
257,30
258,28
259,29
260,29
261,28
262,30
263,29
264,28
265,29
266,30
267,28
268,29
269,28
270,28
271,28
272,27
273,28
274,28
275,30
276,29
277,30
278,29
279,29
280,28
281,29
282,26
283,28
284,27
285,29
286,29
287,28
288,28
289,27
290,28
291,26
292,26
293,26
294,27
295,27
296,27
297,27
298,27
299,27
300,28
301,29
302,28
303,27
304,27
